システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,しっぽ,超音波,カラー
3314,1,0,0,8601,0,0,35
3319,1,-18,19,8601,0,0,35
3324,1,-18,19,8544,0,0,35
3329,1,-18,19,8547,0,0,35
3334,1,-18,19,8487,0,0,35
3339,1,-18,19,8460,0,0,35
3344,1,-14,23,8460,0,0,35
3349,1,-18,18,8450,0,0,35
3354,1,-18,18,8431,0,0,35
3359,1,-22,15,8431,0,0,35
3364,1,-17,19,8411,0,0,35
3369,1,-14,23,8412,0,0,35
3374,1,-18,18,8394,0,43,35
3379,1,-18,19,8375,0,43,35
3384,0,-15,22,8375,0,43,35
3389,-14,-27,9,8355,0,43,35
3394,-20,-31,5,8393,0,43,35
3399,-16,-26,10,8393,0,42,34
3404,-24,-39,-2,8384,0,42,34
3409,-22,-35,2,8383,0,42,34
3414,-14,-31,5,8383,0,42,34
3419,-9,-32,4,8374,0,43,34
3424,7,-26,10,8374,0,43,34
3429,23,-15,22,8364,0,43,35
3434,42,-5,31,8393,0,43,35
3439,54,1,38,8393,0,43,36
3444,51,4,41,8393,0,42,36
3449,48,2,40,8394,0,42,37
3454,40,6,43,8364,0,42,37
3459,33,0,38,8316,0,42,37
3464,23,-2,34,8316,0,42,37
3469,12,-3,33,8316,0,42,37
3474,-3,-12,25,8326,0,42,37
3479,-6,-11,26,8326,0,42,37
3484,-4,-11,25,8345,0,42,37
3489,-12,-13,23,8344,0,42,36
3494,-23,-22,15,8354,0,42,36
3499,-29,-24,13,8364,0,42,36
3504,-26,-25,11,8364,0,42,36
3509,-23,-22,14,8373,0,42,36
3514,-19,-19,17,8383,0,42,36
3519,2,-10,27,8383,0,42,36
3524,2,-7,29,8373,0,42,36
3529,5,-7,29,8375,0,42,36
3534,13,0,37,8345,0,42,36
3539,1,-8,29,8344,0,42,36
3544,-4,-5,31,8344,0,42,36
3549,-8,-7,30,8354,0,42,36
3554,-13,-13,24,8364,0,42,36
3559,-18,-11,25,8364,0,42,35
3564,-23,-18,18,8383,0,42,35
3569,-25,-20,17,8382,0,42,35
3574,-29,-18,18,8410,0,42,35
3579,-31,-17,19,8410,0,43,34
3584,-33,-24,13,8410,0,43,34
3589,-35,-26,10,8420,0,43,34
3594,-33,-26,10,8410,0,43,34
3599,-30,-26,11,8410,0,43,33
3604,-30,-23,14,8410,0,43,33
3609,-26,-26,11,8410,0,43,33
3614,-21,-27,10,8400,0,43,33
3619,-12,-21,15,8383,0,43,32
3624,-14,-18,19,8383,0,43,32
3629,-12,-20,16,8383,0,44,32
3634,-11,-23,14,8383,0,44,32
3639,-14,-24,13,8383,0,44,32
3644,-16,-28,9,8374,0,44,32
3649,-20,-32,4,8374,0,45,31
3654,-19,-34,2,8364,0,45,31
3659,-20,-37,0,8345,0,45,31
3664,-19,-38,0,8345,0,45,31
3669,-14,-36,0,8316,0,45,31
3674,-10,-35,1,8308,0,47,31
3679,-9,-39,-1,8308,0,47,31
3684,0,-37,0,8308,0,47,31
3689,9,-27,10,8309,0,47,31
3694,10,-33,4,8289,0,47,31
3699,16,-31,6,8325,0,48,31
3704,21,-29,8,8325,0,48,31
3709,20,-30,7,8325,0,48,32
3714,16,-32,4,8325,0,48,32
3719,23,-28,8,8325,0,48,32
3724,24,-31,5,8335,0,48,32
3729,14,-36,0,8334,0,48,32
3734,19,-36,0,8344,0,48,32
3739,21,-38,0,8334,0,48,33
3744,19,-40,-3,8334,0,48,33
3749,20,-38,0,8325,0,48,33
3754,27,-35,1,8325,0,48,33
3759,28,-36,1,8325,0,48,33
3764,27,-37,0,8335,0,48,34
3769,28,-33,4,8334,0,48,34
3774,30,-36,0,8344,0,48,34
3779,30,-32,4,8363,0,48,34
3784,27,-38,-1,8363,0,48,35
3789,27,-34,2,8373,0,48,35
3794,26,-35,2,8364,0,48,36
3799,27,-35,2,8364,0,48,36
3804,24,-40,-3,8373,0,48,36
3809,27,-34,2,8373,0,48,36
3814,24,-39,-2,8353,0,48,36
3819,30,-32,5,8373,0,48,37
3824,33,-33,3,8373,0,48,37
3829,29,-31,6,8383,0,48,37
3834,28,-35,2,8392,0,48,38
3839,31,-28,8,8392,0,48,38
3844,26,-35,2,8392,0,48,38
3849,26,-34,3,8392,0,48,39
3854,27,-33,4,8392,0,13,39
3859,28,-31,5,8393,0,13,39
3864,34,-27,9,8393,0,13,40
