システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,しっぽ,超音波,カラー
2764,-1,0,0,8405,0,0,47
2769,-1,-19,18,8405,0,0,47
2774,-1,-19,17,8349,0,0,47
2779,-1,-19,17,8349,0,0,47
2784,-1,-19,17,8294,0,0,47
2789,-1,-19,17,8274,0,0,47
2794,-1,-19,17,8274,0,0,47
2799,-1,-23,13,8255,0,0,47
2804,-1,-19,18,8255,0,0,47
2809,-1,-19,18,8235,0,0,47
2814,-1,-23,14,8217,0,0,47
2819,-1,-18,18,8217,0,0,47
2824,-1,-22,14,8198,0,40,47
2829,-1,-18,18,8188,0,40,47
2834,-1,-19,18,8188,0,40,47
2839,-4,-24,12,8169,0,40,48
2844,11,-15,21,8168,0,40,47
2849,17,-11,26,8188,0,40,47
2854,16,-10,27,8197,0,40,47
2859,4,-16,21,8197,0,40,47
2864,0,-18,18,8178,0,40,47
2869,-1,-15,22,8178,0,40,47
2874,-1,-16,21,8178,0,40,47
2879,-6,-23,13,8168,0,40,47
2884,2,-15,22,8168,0,40,47
2889,4,-14,23,8168,0,40,48
2894,7,-12,24,8168,0,40,48
2899,7,-12,24,8168,0,40,48
2904,2,-15,21,8178,0,40,48
2909,2,-15,21,8187,0,40,48
2914,-2,-18,19,8187,0,40,47
2919,-3,-19,18,8197,0,40,47
2924,-3,-15,21,8197,0,40,47
2929,-6,-15,22,8197,0,40,47
2934,-5,-16,21,8187,0,40,46
2939,-4,-16,20,8187,0,40,46
2944,-3,-17,20,8187,0,40,46
2949,-4,-18,18,8187,0,40,46
2954,-2,-18,19,8187,0,40,46
2959,4,-15,22,8187,0,40,46
2964,4,-11,25,8187,0,40,46
2969,5,-11,25,8187,0,40,47
2974,5,-12,24,8187,0,40,47
2979,2,-10,26,8187,0,40,47
2984,-2,-14,22,8197,0,40,47
2989,-7,-18,18,8207,0,40,47
2994,-7,-16,21,8207,0,40,46
2999,-4,-16,21,8206,0,40,46
3004,-3,-16,20,8207,0,40,46
3009,-3,-17,19,8207,0,40,46
3014,4,-14,22,8207,0,40,46
3019,5,-6,30,8207,0,40,46
3024,2,-10,27,8207,0,40,46
3029,0,-12,24,8197,0,40,46
3034,3,-12,25,8197,0,41,46
3039,2,-10,27,8197,0,41,46
3044,1,-8,29,8197,0,41,46
3049,-5,-17,19,8187,0,41,46
3054,-9,-17,20,8187,0,41,46
3059,-2,-11,26,8187,0,41,46
3064,1,-11,25,8197,0,41,46
3069,0,-13,24,8197,0,41,46
3074,1,-6,30,8197,0,41,46
3079,5,-6,30,8197,0,41,46
3084,2,-9,27,8197,0,41,46
3089,0,-8,28,8187,0,41,46
3094,3,-5,32,8197,0,41,46
3099,2,-4,33,8197,0,41,46
3104,-1,-8,28,8187,0,41,47
3109,-2,-3,33,8187,0,41,46
3114,-6,-9,27,8187,0,41,46
3119,-10,-10,26,8187,0,41,46
3124,-13,-12,25,8187,0,42,46
3129,-12,-11,25,8197,0,42,45
3134,-13,-15,21,8197,0,42,45
3139,-13,-11,26,8197,0,42,45
3144,-7,-11,25,8206,0,42,45
3149,-5,-9,27,8206,0,42,45
3154,-5,-8,28,8206,0,42,46
3159,-1,-6,31,8206,0,42,46
3164,-2,-9,27,8207,0,42,46
3169,-1,-4,33,8187,0,42,45
3174,-3,-8,28,8197,0,42,45
3179,-6,-9,27,8197,0,42,45
3184,-11,-11,25,8197,0,42,45
3189,-14,-13,23,8197,0,7,45
3194,-13,-13,24,8197,0,7,45
3199,-13,-13,24,8197,0,7,45
3204,-11,-12,25,8197,0,7,45
3209,-9,-11,26,8197,0,8,45
3214,-5,-12,25,8197,0,8,45
3219,-4,-7,30,8197,0,8,45
3224,-3,-10,27,8197,0,8,45
3229,-3,-9,28,8197,0,8,44
3234,-5,-9,27,8197,0,8,44
3239,-7,-10,26,8197,0,8,44
3244,-10,-16,21,8197,0,8,44
3249,-9,-11,26,8197,0,8,44
3254,-12,-16,20,8197,0,8,44
3259,-13,-16,20,8197,0,8,44
3264,-13,-16,20,8196,0,8,44
3269,-13,-16,20,8196,0,8,44
3274,-10,-18,19,8196,0,8,44
3279,-10,-17,19,8197,0,8,44
3284,-7,-15,22,8197,0,8,44
3289,-5,-17,20,8197,0,8,43
3294,0,-12,24,8187,0,8,43
3299,-2,-12,24,8187,0,8,43
3304,-5,-17,20,8197,0,8,43
3309,-4,-15,22,8197,0,8,44
3314,-4,-17,19,8197,0,8,44
3319,-7,-18,19,8197,0,8,44
3324,-9,-21,15,8197,0,8,43
3329,-10,-20,16,8197,0,8,43
3334,-10,-23,13,8197,0,8,43
3339,-11,-26,11,8197,0,8,42
3344,-6,-17,19,8187,0,8,42
3349,1,-20,17,8187,0,8,42
3354,2,-16,20,8187,0,8,42
3359,5,-16,20,8187,0,8,42
3364,7,-16,20,8187,0,8,43
3369,5,-14,22,8187,0,255,43
3374,0,-19,18,8187,0,255,43
3379,-3,-22,15,8187,0,255,43
3384,-7,-25,11,8187,0,255,43
3389,-8,-27,9,8187,0,255,43
3394,-9,-25,11,8187,0,81,43
3399,-5,-24,12,8177,0,81,43
3404,0,-23,14,8177,0,81,42
3409,4,-21,15,8187,0,81,43
3414,7,-20,17,8187,0,81,43
3419,9,-19,18,8187,0,81,43
