システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,3,-3,33,7108
5,3,-6,31,7109
9,5,-6,30,7109
13,3,-8,28,6896
17,3,-5,31,6896
21,3,-7,30,6820
25,3,-8,28,6820
29,3,-10,27,6772
33,3,-10,26,6772
37,3,-7,30,6743
41,3,-8,28,6743
45,5,-3,33,6715
49,3,-6,30,6715
53,3,-3,34,6656
57,3,0,36,6656
61,3,-3,34,6629
65,0,-2,34,6629
69,0,0,36,6646
73,0,0,38,6646
77,0,1,39,6655
81,3,5,42,6655
85,2,5,43,6618
89,-7,0,37,6618
93,-21,-10,27,6541
97,-43,-27,9,6541
101,-54,-38,-1,6579
105,-54,-41,-4,6579
109,-64,-51,-14,6627
113,-63,-58,-21,6627
117,-46,-49,-11,6472
121,-43,-47,-10,6472
125,-27,-42,-4,6272
129,-23,-42,-5,6272
133,-16,-40,-2,6272
137,-19,-44,-7,6272
141,0,-31,5,6252
145,10,-29,8,6252
149,10,-27,9,6262
153,10,-31,6,6262
157,22,-24,12,6299
161,26,-13,24,6299
165,23,-18,19,6358
169,20,-22,14,6358
173,26,-19,17,6434
177,26,-20,16,6434
181,27,-20,17,6453
185,30,-13,24,6453
189,30,-14,23,6453
193,30,-14,23,6453
197,30,-14,22,6471
201,33,-7,30,6471
205,30,-10,27,6481
209,29,-11,26,6481
213,30,-5,31,6463
217,32,-10,27,6463
221,26,-9,28,6443
225,26,-5,32,6443
229,27,-5,31,6423
233,30,-4,33,6423
237,24,-4,33,6384
241,22,-2,35,6384
245,22,-4,33,6337
249,22,0,36,6337
253,23,-2,35,6298
257,16,0,38,6298
261,14,-4,33,6280
265,19,6,44,6280
269,19,8,45,6261
273,12,3,41,6261
277,12,4,42,6107
281,6,5,43,6107
285,0,5,42,6087
289,0,7,45,6087
293,-9,2,40,6107
297,-10,3,40,6107
301,-21,0,37,6117
305,-21,0,36,6117
309,-27,-7,30,6193
313,-29,-10,27,6193
317,-36,-17,20,6279
321,-36,-14,23,6279
325,-39,-19,18,6366
329,-40,-17,19,6366
333,-40,-21,16,6423
337,-40,-19,18,6423
341,-36,-24,12,6470
345,-37,-27,10,6470
349,-37,-24,13,6479
353,-37,-27,10,6479
357,-37,-29,8,6489
361,-37,-31,5,6489
365,-40,-35,1,6480
369,-40,-37,0,6480
373,-37,-32,4,6442
377,-39,-41,-4,6442
381,-39,-43,-5,6384
385,-33,-45,-7,6384
389,-29,-42,-5,6249
393,-21,-41,-3,6249
397,-12,-38,-1,6000
401,-4,-34,3,6000
405,0,-32,5,6050
409,3,-36,1,6050
413,17,-23,13,6221
417,20,-25,12,6221
421,26,-17,19,6307
425,29,-17,19,6307
429,36,-8,28,6383
433,36,-5,32,6383
437,34,-8,28,6452
441,32,-11,25,6452
445,26,-12,24,6489
449,24,-16,21,6489
453,19,-21,15,6499
457,14,-22,15,6499
461,14,-24,12,6479
465,9,-35,2,6479
469,6,-28,9,6462
473,6,-36,1,6462
477,13,-27,10,6423
481,14,-27,9,6423
485,14,-28,8,6403
489,17,-22,15,6403
493,34,-10,26,6413
497,34,-10,27,6413
501,27,-10,27,6462
505,27,-11,26,6462
509,27,-11,25,6489
513,34,-1,35,6489
517,34,-2,35,6489
521,20,-13,24,6489
525,20,-9,28,6462
529,10,-18,19,6462
533,6,-18,19,6480
537,5,-21,15,6480
541,0,-23,14,6490
545,-2,-22,14,6490
549,-2,-26,11,6509
553,0,-23,14,6509
557,0,-21,16,6509
561,-2,-26,11,6509
565,2,-21,15,6519
569,6,-16,20,6519
573,6,-19,17,6519
577,10,-14,22,6519
581,12,-10,26,6529
585,17,-9,27,6529
589,14,-9,28,6529
593,14,-7,30,6529
597,14,-5,32,6509
601,13,-4,33,6509
605,10,-10,27,6500
609,3,-13,24,6500
613,0,-14,22,6490
617,0,-14,23,6490
621,-6,-18,19,6519
625,-10,-16,21,6519
629,-10,-17,19,6539
633,-14,-26,10,6539
637,-14,-26,10,6539
641,-23,-34,3,6539
645,-20,-28,9,6539
649,-12,-23,13,6539
653,-16,-27,9,6519
657,-20,-31,5,6519
661,-3,-25,12,6529
665,0,-22,15,6529
669,-4,-24,13,6529
673,0,-20,16,6529
677,7,-14,22,6529
681,3,-21,15,6529
685,6,-17,19,6547
689,12,-7,30,6547
693,9,-13,23,6547
697,3,-11,25,6547
701,5,-15,22,6539
705,0,-18,19,6539
709,-4,-20,16,6539
713,-2,-19,18,6539
717,-2,-19,18,6539
721,-10,-25,12,6539
725,-12,-22,15,6547
729,-12,-28,8,6547
733,-13,-30,7,6539
737,-14,-31,6,6539
741,-9,-28,9,6529
745,-10,-29,8,6529
749,-12,-35,1,6529
753,-7,-31,6,6529
757,-3,-27,9,6509
761,-3,-27,10,6509
765,-2,-30,6,6519
769,2,-26,11,6519
773,2,-24,12,6529
777,2,-28,9,6529
781,2,-26,11,6539
785,6,-22,15,6539
789,9,-23,14,6529
793,13,-17,19,6529
797,12,-20,16,6529
801,12,-18,19,6529
805,13,-15,22,6539
809,14,-22,15,6539
813,6,-19,17,6529
817,2,-26,11,6529
821,2,-24,13,6539
825,5,-25,12,6539
829,0,-21,15,6529
833,-3,-33,4,6529
837,0,-28,8,6547
841,3,-24,12,6547
845,-3,-32,5,6519
849,-2,-29,7,6519
853,3,-24,13,6529
857,3,-27,10,6529
861,3,-25,12,6529
865,3,-28,9,6529
869,12,-23,13,6529
873,10,-26,10,6529
877,13,-20,16,6529
881,13,-17,19,6529
885,14,-18,18,6539
889,5,-22,15,6539
893,10,-21,15,6539
897,10,-18,18,6539
901,9,-21,15,6539
905,6,-21,16,6539
909,9,-16,20,6539
913,12,-22,15,6539
917,7,-22,15,6539
921,9,-18,19,6539
925,9,-20,17,6539
929,7,-19,18,6539
933,6,-17,19,6539
937,2,-23,13,6539
941,0,-23,14,6547
945,0,-21,15,6547
949,0,-25,12,6547
953,0,-23,14,6547
957,0,-26,10,6547
961,0,-24,12,6547
965,0,-27,9,6547
969,3,-23,14,6547
973,6,-23,13,6547
977,6,-20,16,6547
981,2,-21,15,6557
985,6,-21,15,6557
989,0,-23,13,6557
993,0,-27,10,6557
997,6,-20,17,6557
1001,5,-19,18,6557
1005,0,-25,11,6547
1009,-2,-30,7,6547
1013,9,-19,17,6547
1017,5,-24,12,6547
1021,-2,-27,10,6547
1025,3,-21,15,6547
1029,10,-19,18,6547
1033,3,-21,15,6547
1037,-3,-29,8,6557
1041,3,-22,14,6557
1045,5,-19,18,6547
1049,-2,-27,9,6547
1053,0,-24,13,6547
1057,3,-20,17,6547
1061,6,-26,11,6547
1065,5,-23,13,6547
1069,3,-22,14,6539
1073,6,-23,14,6539
1077,0,-25,12,6547
1081,2,-21,15,6547
1085,3,-24,13,6547
1089,0,-24,13,6547
1093,-4,-25,11,6557
1097,0,-26,11,6557
1101,2,-22,14,6557
1105,0,-27,9,6557
1109,0,-25,12,6547
1113,7,-23,14,6547
1117,7,-25,12,6547
1121,0,-27,10,6547
1125,0,-25,12,6539
1129,10,-20,16,6539
1133,9,-18,18,6529
1137,-6,-32,5,6529
1141,0,-30,6,6547
1145,5,-19,18,6547
1149,-2,-32,4,6529
1153,-6,-32,4,6529
1157,-2,-28,9,6539
1161,5,-25,11,6539
1165,0,-26,10,6529
1169,0,-24,12,6529
1173,5,-24,12,6547
1177,9,-23,13,6547
1181,6,-22,14,6547
1185,3,-27,10,6547
1189,5,-28,9,6547
1193,10,-21,16,6547
1197,7,-20,17,6529
1201,3,-25,11,6529
1205,3,-23,14,6539
1209,3,-26,11,6539
1213,0,-25,11,6539
1217,0,-28,8,6539
1221,0,-31,6,6529
1225,-2,-30,7,6529
1229,3,-29,8,6509
1233,5,-24,12,6509
1237,0,-30,6,6519
1241,0,-28,9,6519
1245,6,-26,11,6509
1249,5,-28,8,6509
1253,5,-20,16,6510
1257,12,-23,14,6510
1261,10,-20,16,6519
1265,5,-26,10,6519
1269,6,-22,14,6519
1273,12,-20,16,6519
1277,0,-26,11,6509
1281,-2,-30,6,6509
1285,0,-31,5,6500
1289,3,-31,6,6500
1293,-2,-31,5,6470
1297,0,-27,9,6470
1301,0,-30,7,6470
1305,6,-23,14,6470
1309,6,-25,11,6480
1313,7,-26,10,6480
1317,7,-23,14,6500
1321,13,-20,16,6500
1325,12,-22,14,6500
1329,6,-23,14,6500
1333,7,-24,12,6509
1337,3,-24,12,6509
1341,2,-27,9,6500
1345,2,-25,12,6500
1349,2,-32,4,6500
1353,-2,-31,5,6500
1357,0,-32,4,6480
1361,0,-29,7,6480
1365,0,-31,5,6470
1369,7,-23,13,6470
1373,7,-25,11,6462
1377,9,-25,11,6462
1381,10,-25,11,6480
1385,20,-14,23,6480
1389,14,-19,17,6480
1393,6,-21,15,6480
1397,10,-21,16,6490
1401,13,-15,21,6490
1405,0,-32,5,6480
1409,-4,-31,5,6480
1413,0,-31,6,6462
1417,0,-28,9,6462
1421,-7,-30,6,6443
1425,0,-29,8,6443
1429,0,-31,6,6443
1433,0,-28,9,6443
1437,6,-21,16,6433
1441,9,-26,10,6433
1445,19,-19,17,6453
1449,19,-14,22,6453
1453,19,-15,21,6462
1457,14,-15,22,6462
1461,12,-18,19,6462
1465,2,-22,15,6462
1469,2,-25,12,6462
1473,-3,-31,6,6462
1477,-3,-28,9,6462
1481,-3,-31,6,6462
1485,-2,-27,9,6452
1489,-2,-30,6,6452
1493,0,-26,11,6452
1497,9,-17,20,6452
1501,9,-19,17,6442
1505,7,-23,14,6442
1509,16,-18,19,6462
1513,26,-6,31,6462
1517,17,-13,23,6462
1521,10,-15,22,6462
1525,10,-12,24,6452
1529,3,-20,16,6452
1533,3,-18,19,6462
1537,3,-16,20,6462
1541,-2,-23,13,6470
1545,-2,-22,15,6470
1549,-6,-23,13,6480
1553,-7,-28,8,6480
1557,0,-21,15,6470
1561,0,-20,17,6470
1565,0,-19,18,6480
1569,6,-18,19,6480
1573,6,-16,21,6470
1577,6,-14,22,6470
1581,6,-17,19,6470
1585,3,-18,19,6470
1589,0,-18,18,6480
1593,-3,-20,17,6480
1597,2,-20,16,6470
1601,0,-20,17,6470
1605,-9,-26,11,6490
1609,-9,-25,11,6490
1613,0,-18,18,6480
1617,0,-22,14,6480
1621,-2,-22,14,6490
1625,0,-20,17,6490
1629,3,-21,15,6490
1633,3,-20,17,6490
1637,0,-20,16,6490
1641,0,-19,17,6490
1645,0,-23,13,6490
1649,0,-22,15,6490
1653,0,-21,16,6480
1657,0,-20,17,6480
1661,0,-24,13,6480
1665,7,-17,20,6480
1669,7,-15,21,6470
1673,5,-20,16,6470
1677,5,-18,18,6480
1681,5,-16,20,6480
1685,3,-22,15,6490
1689,-2,-23,13,6490
1693,-2,-22,14,6480
1697,-2,-21,15,6480
1701,0,-19,17,6489
1705,-3,-26,11,6489
1709,0,-22,14,6489
1713,2,-20,17,6489
1717,0,-25,12,6480
1721,2,-22,15,6480
1725,2,-20,16,6480
1729,10,-13,23,6480
1733,13,-9,27,6480
1737,13,-13,24,6480
1741,13,-10,26,6480
1745,14,-8,29,6480
1749,6,-17,19,6462
1753,0,-20,17,6462
1757,0,-19,18,6480
1761,0,-18,18,6480
1765,-3,-20,17,6490
1769,-3,-20,17,6490
1773,-3,-19,17,6499
1777,-3,-24,12,6499
1781,-3,-23,13,6509
1785,-2,-22,15,6509
1789,0,-20,17,6509
1793,0,-19,18,6509
1797,2,-17,19,6509
1801,5,-14,22,6509
1805,3,-15,21,6499
1809,9,-10,26,6499
1813,7,-11,26,6499
1817,6,-16,20,6499
1821,6,-10,27,6489
1825,13,-9,27,6489
1829,12,-9,28,6499
1833,3,-14,22,6499
1837,3,-14,23,6490
1841,0,-11,26,6490
1845,0,-16,20,6499
1849,0,-11,25,6499
1853,-7,-17,19,6519
1857,-3,-16,21,6519
1861,-2,-16,21,6529
