システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,,,,,,,
1,8,8,2,7002,,,,,,,
5,7,8,1,7002,,,,,,,
9,8,9,2,6726,,,,,,,
13,10,11,4,6726,,,,,,,
17,9,11,4,6606,,,,,,,
21,11,13,5,6606,,,,,,,
25,10,12,5,6491,,,,,,,
29,10,13,6,6491,,,,,,,
33,11,19,12,6388,,,,,,,
37,8,16,9,6388,,,,,,,
41,6,14,7,6303,,,,,,,
45,6,13,6,6303,,,,,,,
49,6,12,5,6395,,,,,,,
53,7,13,6,6395,,,,,,,
57,7,12,6,6376,,,,,,,
61,8,18,11,6376,,,,,,,
65,7,16,10,6356,,,,,,,
69,10,17,11,6356,,,,,,,
73,14,20,14,6375,,,,,,,
77,12,18,12,6375,,,,,,,
81,8,20,13,6421,,,,,,,
85,6,17,11,6421,,,,,,,
89,8,22,16,6421,,,,,,,
93,10,22,16,6421,,,,,,,
97,14,24,18,6411,,,,,,,
101,10,30,24,6411,,,,,,,
105,2,26,20,6391,,,,,,,
109,-4,18,12,6391,,,,,,,
113,3,20,13,6391,,,,,,,
117,-3,18,12,6391,,,60,10,10,,KP 0.83
121,-9,15,8,6450,,,,,,,
125,-12,8,2,6450,,,,,,,
129,-14,12,7,6486,,,,,,,
133,-18,9,4,6486,,,,,,,
137,-24,0,-4,6515,,,,,,,
141,-24,0,-5,6515,,,,,,,
145,-24,3,0,6590,,,,,,,
149,-27,-4,-8,6590,,,,,,,
153,-29,-6,-10,6637,,,,,,,
157,-23,-7,-10,6637,,,,,,,
161,-24,-8,-11,6619,,,,,,,
165,-14,-5,-8,6619,,,,,,,
169,-5,-1,-4,6665,,,,,,,
173,-2,-1,-4,6665,,,,,,,
177,7,8,5,6666,,,,,,,
181,13,11,8,6666,,,,,,,
185,9,7,4,6685,,,,,,,
189,16,11,8,6685,,,,,,,
193,17,17,14,6686,,,,,,,
197,6,8,5,6686,,,,,,,
201,5,6,2,6686,,,,,,,
205,4,4,1,6686,,,,,,,
209,-5,-3,-6,6705,,,,,,,
213,4,1,-1,6705,,,,,,,
217,11,6,3,6620,,,,,,,
221,13,7,4,6620,,,,,,,
225,12,7,4,6450,,,,,,,
229,6,2,0,6450,,,,,,,
233,6,2,0,6232,,,,,,,
237,7,3,0,6232,,,,,,,
241,6,2,0,6147,,,,,,,
245,4,0,-2,6147,,,,,,,
249,0,-3,-6,6091,,,,,,,
253,1,-2,-5,6091,,,,,,,
257,3,-1,-4,6034,,,,,,,
261,6,0,-2,6034,,,,,,,
265,12,5,2,6004,,,,,,,
269,10,4,1,6004,,,,,,,
273,6,1,-1,5976,,,,,,,
277,4,0,-3,5976,,,,,,,
281,-1,-4,-7,5976,,,,,,,
285,0,-4,-7,5976,,,,,,,
289,-2,-6,-9,5936,,,,,,,
293,0,-5,-8,5936,,,,,,,
297,1,-4,-8,5917,,,,,,,
301,2,-4,-7,5917,,,,,,,
305,4,-2,-5,5907,,,,,,,
309,1,-5,-8,5907,,,,,,,
313,0,-11,-14,5907,,,,,,,
317,-2,-12,-15,5907,,,,,,,
321,-4,-13,-17,5907,,,,,,,
325,-4,-13,-17,5907,,,,,,,
329,-3,-13,-16,5879,,,,,,,
333,-1,-11,-14,5879,,,,,,,
337,-2,-17,-20,5888,,,,,,,
341,-3,-17,-20,5888,,,,,,,
345,-3,-16,-20,5869,,,,,,,
