システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,-40,0,-36,7477
5,-38,-2,-39,7420
9,-41,-8,-45,7420
13,-43,-50,-13,7307
17,-42,-53,-16,7307
21,-39,-54,-17,7232
25,-40,-62,-24,7232
29,-42,-65,-28,7119
33,-40,-66,-28,7119
37,-40,-73,-35,6969
41,-40,-78,-40,6969
45,-39,-88,-51,6779
49,-39,-91,-54,6779
53,-40,-100,-64,6592
57,-38,-100,-65,6592
61,-36,-100,-71,6526
65,-30,-100,-72,6526
69,-21,-100,-71,6438
73,-21,-100,-79,6438
77,-20,-100,-80,6391
81,28,-83,-45,6391
85,79,-46,-9,6469
89,77,-46,-9,6469
93,70,-48,-10,6915
97,77,-37,0,6915
101,86,-34,2,7008
105,72,-37,0,7008
109,61,-44,-7,7084
113,55,-44,-6,7084
117,35,-59,-21,7065
121,21,-70,-33,7065
125,18,-71,-33,6963
129,14,-72,-35,6963
133,6,-82,-44,6907
137,14,-80,-42,6907
141,22,-72,-34,6907
145,26,-67,-29,6907
149,37,-61,-23,6973
153,43,-58,-20,6973
157,49,-53,-16,7030
161,48,-49,-12,7030
165,49,-49,-12,7076
169,49,-49,-12,7076
173,43,-49,-11,7095
177,42,-51,-13,7095
181,40,-48,-11,7105
185,35,-57,-20,7105
189,38,-52,-14,7105
193,34,-55,-18,7105
197,36,-50,-13,7096
201,35,-52,-15,7096
205,35,-53,-16,7115
209,45,-47,-10,7115
213,52,-38,-1,7115
217,58,-34,2,7115
221,61,-31,5,7200
225,70,-24,12,7200
229,70,-19,18,7247
233,75,-15,22,7247
237,79,-11,26,7256
241,85,-1,36,7256
245,88,6,43,7247
249,86,9,47,7247
253,95,21,58,7077
257,96,26,63,7077
261,92,29,67,6814
265,99,47,85,6814
269,99,58,96,6492
273,97,63,100,6492
277,74,55,92,6204
281,60,52,90,6204
285,51,57,94,6156
289,33,46,84,6156
293,35,54,91,6232
297,18,36,74,6232
301,1,33,71,6210
305,-39,0,36,6210
309,-39,2,40,6626
313,-37,7,44,6626
317,-33,6,44,6854
321,-29,8,45,6854
325,-13,22,59,6875
329,-13,21,58,6875
333,-16,23,60,6772
337,-48,35,-1,6772
341,-40,37,0,6851
345,-26,48,10,6851
349,-21,48,11,6942
353,-29,45,8,6942
357,-30,46,9,6904
361,-11,60,23,6904
365,-11,58,20,6848
369,-8,62,24,6848
373,-8,60,23,6727
377,-20,54,16,6727
381,-27,49,12,6729
385,-36,38,1,6729
389,-42,34,-3,6821
393,-47,30,-7,6821
397,-72,11,-26,6895
401,-84,-4,-42,6895
405,-79,-3,-41,6990
409,-76,-8,-46,6990
413,-85,-20,-58,6979
417,-100,-37,-74,6979
421,-93,-40,-78,6743
425,-81,-42,-79,6743
429,-68,-38,-76,6465
433,-66,-44,-81,6465
437,-61,-47,-85,6379
441,-65,-61,-98,6379
445,-56,-64,-100,6303
449,-44,-62,-99,6303
453,-25,-57,-95,6286
457,-48,-83,-100,6286
461,-49,-85,-100,6346
465,-16,-72,-100,6346
469,-25,-84,-100,6254
473,-42,-100,-100,6254
477,-42,-100,-100,6237
481,-29,-100,-100,6237
485,-29,-100,-100,6402
489,-34,-100,-100,6402
493,-38,-100,-100,6412
497,-30,-100,-100,6412
501,-27,-100,-100,6385
505,-33,-100,-100,6385
509,-38,-100,-100,6432
513,-29,-100,-100,6432
517,-29,-100,-100,6488
