システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,4,21,-16,7703
5,5,21,-15,7664
9,2,20,-17,7664
13,2,20,-17,7589
17,5,22,-15,7589
21,6,18,-18,7560
25,4,18,-18,7560
29,3,18,-18,7552
33,3,19,-18,7552
37,4,24,-13,7532
41,5,24,-12,7532
45,1,17,-19,7503
49,5,24,-12,7503
53,1,17,-19,7493
57,4,20,-17,7493
61,5,25,-12,7484
65,8,26,-10,7484
69,4,24,-13,7447
73,4,23,-13,7447
77,-10,14,-22,7466
81,-16,9,-27,7466
85,-26,6,-31,7473
89,-23,1,-36,7473
93,-21,5,-32,7456
97,-21,0,-38,7456
101,-11,5,-32,7436
105,1,16,-20,7436
109,-1,11,-26,7447
113,2,13,-23,7447
117,5,16,-21,7456
121,0,13,-24,7456
125,6,13,-24,7455
129,9,16,-20,7455
133,6,15,-21,7446
137,2,9,-27,7446
141,2,15,-22,7436
145,2,11,-26,7436
149,-2,9,-27,7436
153,-1,6,-30,7436
157,-1,3,-33,7417
161,0,-27,10,7417
165,1,-29,7,7437
169,2,-31,5,7437
173,7,-26,10,7481
177,9,-27,9,7481
181,11,-28,9,7472
185,3,-30,7,7472
189,2,-29,8,7455
193,0,-33,4,7455
197,8,-26,11,7436
201,3,-31,6,7436
205,1,-30,6,7417
209,-1,-34,2,7417
213,-4,-34,2,7380
217,-4,-41,-4,7380
221,-12,-48,-11,7322
225,-18,-50,-12,7322
229,-23,-56,-19,7238
233,-25,-61,-23,7238
237,-22,-61,-24,7236
241,-22,-63,-26,7236
245,-22,-65,-28,7181
249,-17,-63,-26,7181
253,2,-19,-56,7116
257,44,10,-27,7116
261,70,-6,31,7277
265,63,27,-10,7277
269,70,31,-5,7414
273,80,43,5,7414
277,78,51,14,7368
281,63,45,8,7368
285,44,31,-6,7275
289,32,29,-7,7275
293,-3,6,-30,7350
297,20,23,-13,7350
301,23,29,-8,7388
305,13,25,-12,7388
309,0,18,-18,7349
313,-5,16,-21,7349
317,-6,11,-26,7350
321,3,18,-19,7350
325,3,19,-18,7321
329,-12,14,-22,7321
333,-26,4,-33,7294
337,-20,2,-35,7294
341,-8,14,-23,7265
345,-15,13,-24,7265
349,-27,3,-34,7226
353,-22,4,-33,7226
357,-22,2,-35,7209
361,-22,0,-36,7209
365,-25,1,-35,7275
369,-25,-4,-42,7275
373,-30,-9,-46,7273
377,-29,-9,-47,7273
381,-23,-7,-44,7209
385,-20,-43,-6,7209
389,-15,-45,-7,7246
393,-7,-43,-6,7246
397,4,-38,-1,7274
401,10,-32,5,7274
405,15,-26,11,7293
409,16,-27,10,7293
413,23,-28,9,7302
417,25,-26,10,7302
421,24,-22,14,7293
425,20,-29,7,7293
429,12,-30,6,7283
433,0,-43,-6,7283
437,0,-40,-3,7217
441,-12,-50,-12,7217
445,-14,-58,-20,7151
449,-19,-62,-24,7151
453,-19,-63,-26,7124
457,-27,-70,-33,7124
461,-27,-77,-39,7048
465,-36,-88,-51,7048
469,-27,-88,-51,6898
473,19,-55,-18,6898
477,61,-26,10,6967
481,64,-22,15,6967
485,72,-10,26,7291
489,93,0,38,7291
493,93,46,8,7336
497,85,43,6,7336
501,73,42,5,7291
505,47,30,-7,7291
509,21,15,-21,7217
513,22,17,-20,7217
517,29,22,-14,7264
521,20,17,-19,7264
525,5,12,-25,7273
529,-4,9,-28,7273
533,-10,2,-34,7283
537,-11,0,-37,7283
541,-5,5,-31,7339
545,-9,5,-32,7339
549,-19,0,-37,7367
553,-21,-5,-42,7367
557,-16,-1,-38,7329
561,-15,-4,-41,7329
565,-15,-2,-40,7293
569,-15,-1,-39,7293
573,-10,-2,-39,7255
577,-5,-1,-38,7255
581,2,5,-31,7255
585,3,4,-33,7255
589,3,2,-34,7303
593,7,4,-33,7303
597,9,4,-32,7320
601,8,3,-33,7320
605,5,1,-36,7330
609,6,1,-36,7330
613,5,0,-37,7320
617,3,-1,-38,7320
621,6,0,-37,7310
625,10,-1,-39,7310
629,14,1,-35,7310
633,20,6,-30,7310
637,24,-30,6,7320
641,26,-27,10,7320
645,24,-26,10,7404
649,25,-24,12,7404
653,29,-20,16,7395
657,25,-21,15,7395
661,19,-28,8,7395
665,20,-26,10,7395
669,15,-24,12,7388
673,9,-28,8,7388
677,10,-32,5,7378
681,12,-26,11,7378
685,6,-34,2,7349
689,3,-32,5,7349
693,5,-31,5,7320
697,-2,-36,0,7320
701,-7,-36,0,7350
705,-11,-41,-3,7350
709,-12,-43,-6,7349
713,-19,-54,-16,7349
717,-32,-64,-27,7273
721,-26,-58,-20,7273
725,12,-39,-2,7115
729,19,-33,3,7115
733,23,-33,4,7256
737,32,-20,16,7256
741,40,-22,15,7320
745,42,20,-17,7320
749,29,15,-22,7396
753,33,19,-17,7396
757,26,17,-20,7433
761,12,5,-32,7433
765,17,13,-23,7433
769,27,20,-16,7433
773,7,8,-29,7414
777,6,3,-34,7414
781,12,11,-25,7415
785,16,14,-23,7415
789,10,10,-26,7415
793,16,18,-18,7415
797,8,8,-28,7395
801,9,13,-24,7395
805,17,17,-19,7388
809,22,25,-12,7388
813,9,16,-21,7378
817,2,14,-22,7378
821,5,14,-23,7369
825,4,16,-21,7369
829,-2,10,-27,7349
833,-4,10,-26,7349
837,-2,13,-23,7340
841,-1,11,-26,7340
845,-3,11,-25,7330
849,5,14,-23,7330
853,11,20,-16,7311
857,14,24,-12,7311
861,22,32,-5,7293
865,24,35,-1,7293
869,23,37,0,7303
873,30,43,5,7303
