システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,kp100,-1
1,5,0,9,6795,,
5,5,0,9,6670,,
9,7,0,10,6670,,
13,5,0,10,6297,,
17,4,0,9,6297,,
21,2,-2,8,6153,,
25,0,-4,6,6153,,
29,0,-5,6,6050,,
33,0,-5,5,6050,,
37,0,-5,4,6067,,
41,3,1,12,6067,,
45,7,4,14,6105,,
49,6,2,13,6105,,
53,4,0,10,6244,,
57,1,-2,7,6244,,
61,-1,-4,5,6206,,
65,3,-2,7,6206,,
69,1,-3,6,6197,,
73,0,-5,4,6197,,
77,6,0,9,6224,,
81,5,-2,8,6224,,
85,-1,-1,8,6282,,
89,0,-2,8,6282,,
93,1,-3,7,6291,,
97,2,-3,7,6291,,
101,2,0,12,6298,,
105,3,0,11,6298,,
109,4,0,10,6327,,
113,6,0,11,6327,,
117,3,2,13,6356,,
121,3,0,11,6356,,
125,9,3,15,6356,,
129,6,5,17,6356,,
133,5,3,14,6365,,
137,7,3,14,6365,,
141,10,9,20,6383,,
145,6,9,21,6383,,
149,1,3,14,6366,,
153,-1,0,11,6366,,
157,-2,1,13,6393,,
161,-17,-12,-1,6393,,
165,-18,-10,0,6432,,
169,-21,-17,-7,6432,,
173,-25,-23,-13,6451,,
177,-24,-21,-11,6451,,
181,-18,-20,-10,6412,,
185,-16,-16,-7,6412,,
189,-19,-21,-13,6412,,
193,-14,-20,-12,6412,,
197,-16,-24,-15,6412,,
201,-17,-27,-18,6412,,
205,-16,-27,-20,6383,,
209,-18,-31,-22,6383,,
213,-17,-27,-19,6317,,
217,-17,-30,-21,6317,,
221,-9,-26,-17,6166,,
225,-6,-30,-21,6166,,
229,-11,-35,-26,5977,,
233,-7,-32,-23,5977,,
237,8,-21,-12,5675,,
241,10,-18,-9,5675,,
245,15,-12,-5,5619,,
249,15,-11,-3,5619,,
253,18,-13,-5,5608,,
257,19,-10,-2,5608,,
261,10,-21,-14,5569,,
265,9,-20,-13,5569,,
269,9,-19,-11,5492,,
273,6,-20,-13,5492,,
277,-2,-32,-26,5445,,
281,2,-27,-21,5445,,
285,11,-18,-12,5340,,
289,12,-22,-16,5340,,
293,16,-15,-9,5339,,
297,24,-5,0,5339,,
301,29,-4,1,5377,,
305,31,1,7,5377,,
309,35,2,9,5433,,
313,37,9,14,5433,,
317,34,10,16,5477,,
321,31,11,16,5477,,
325,25,7,14,5487,,
329,17,2,8,5487,,
333,12,0,4,5477,,
337,6,-5,0,5477,,
341,3,-8,-3,5534,,
345,-9,-20,-15,5534,,
349,-20,-32,-26,5485,,
353,-25,-38,-33,5485,,
357,-30,-46,-41,5410,,
361,-31,-50,-45,5410,,
365,-31,-54,-49,5278,,
369,-31,-56,-51,5278,,
373,-30,-60,-53,5155,,
377,-28,-59,-54,5155,,
381,-23,-65,-59,5015,,
385,-17,-58,-53,5015,,
389,-13,-63,-57,4887,,
393,-8,-56,-51,4887,,
397,-8,-62,-57,4793,,
401,5,-52,-47,4793,,
405,13,-40,-35,4704,,
409,22,-33,-28,4704,,
413,27,-28,-23,4823,,
417,32,-16,-11,4823,,
421,34,-15,-9,4934,,
425,33,-16,-10,4934,,
429,37,-12,-6,4971,,
433,34,-14,-8,4971,,
437,25,-23,-17,4989,,
441,18,-31,-24,,,
システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,kp0.8,-1
1,12,11,7,6591,,
5,13,12,8,6598,,
9,13,14,10,6304,,
13,11,13,9,6315,,
17,11,13,9,6101,,
21,11,19,15,6103,,
25,10,18,14,6035,,
29,9,16,12,6037,,
33,9,21,17,5919,,
37,11,22,18,5853,,
41,12,27,23,5853,,
45,15,28,24,5855,,
49,15,33,28,5815,,
53,14,36,31,5811,,
57,14,38,33,5889,,
61,10,32,27,5888,,
65,4,29,25,5870,,
69,-4,24,19,5869,,
73,-13,17,13,5897,,
77,-13,17,13,5894,,
81,-16,8,4,5954,,
85,-20,5,1,5946,,
89,-18,7,2,6140,,
93,-17,8,3,6139,,
97,-20,6,0,6159,,
101,-19,6,0,6159,,
105,-18,7,0,6169,,
109,-14,5,-1,6170,,
113,-2,15,7,6170,,
117,6,18,10,6170,,
121,11,25,16,6170,,
125,17,28,19,6169,,
129,17,31,22,6179,,
133,15,32,23,6179,,
137,17,31,22,6189,,
141,22,33,24,6189,,
145,22,37,28,6199,,
149,22,40,31,6199,,
153,27,42,33,6209,,
157,20,36,26,6209,,
161,18,38,28,6199,,
165,17,40,30,6198,,
169,12,33,23,6216,,
173,7,27,17,6217,,
177,6,28,18,6217,,
181,8,33,22,6216,,
185,3,25,14,6226,,
189,5,24,13,6226,,
193,14,34,23,6236,,
197,6,31,19,6235,,
201,6,28,16,6235,,
205,13,31,19,6235,,
209,8,30,18,6255,,
213,3,29,17,6255,,
217,9,30,18,6265,,
221,4,29,17,6265,,
225,0,23,11,6275,,
229,1,26,14,6276,,
233,9,30,17,6226,,
237,11,34,22,6231,,
241,9,36,23,6095,,
245,0,25,12,6102,,
249,6,33,20,5886,,
253,6,35,22,5893,,
257,1,29,16,5679,,
261,2,31,18,5682,,
265,3,29,16,5594,,
269,-1,28,14,5594,,
273,-3,23,9,5556,,
277,-7,22,8,5556,,
281,-5,25,11,5546,,
285,-4,21,7,5546,,
289,-5,23,9,5506,,
293,-3,21,6,5506,,
297,-1,25,10,5496,,
301,-2,21,6,5496,,
305,1,26,11,5476,,
309,0,27,12,5476,,
313,0,24,9,5458,,
317,1,27,12,5458,,
321,-2,21,6,5458,,
325,-3,22,7,5457,,
329,0,22,6,5437,,
333,0,24,9,5437,,
337,-1,26,10,5437,,
341,-1,22,6,5436,,
345,-4,21,6,5446,,
349,-4,17,1,5447,,
353,-4,20,4,5427,,
357,-7,12,-2,5425,,
361,-9,7,-7,5455,,
365,-10,9,-5,5456,,
369,-7,8,-6,5406,,
373,-7,11,-4,5407,,
377,-7,7,-7,5389,,
381,-4,6,-8,5389,,
385,-3,11,-3,5359,,
389,0,11,-3,5359,,
393,1,10,-4,5349,,
397,1,8,-6,5349,,
401,2,7,-7,5339,,
405,2,12,-2,5338,,
409,4,12,-2,5348,,
413,6,12,-2,5349,,
417,7,12,-2,5329,,
421,7,11,-3,5329,,
425,6,10,-4,5319,,
429,6,9,-5,5320,,
433,5,8,-6,5302,,
437,4,6,-8,5302,,
441,3,5,-9,5292,,
445,1,-3,-18,5292,,
449,0,-3,-18,5272,,
453,0,-3,-18,5273,,
457,-1,-4,-19,5233,,
461,-1,-4,-19,5233,,
465,-1,-10,-25,5215,,
469,-2,-10,-25,5216,,
473,-3,-10,-25,5176,,
477,-3,-16,-31,5177,,
481,-4,-16,-31,5147,,
485,-4,-21,-36,5149,,
489,-4,-20,-35,5101,,
493,-4,-24,-39,5102,,
497,-5,-24,-38,5062,,
501,-5,-29,-43,5061,,
505,-6,-34,-48,5061,,
509,-7,-38,-52,5062,,
513,-7,-35,-49,5024,,
517,-11,-43,-57,5025,,
521,-10,-46,-60,4985,,
525,5,-34,-48,4987,,
529,13,-27,-41,4899,,
