システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,-3,-2,-3,6815
5,-4,-3,-5,6712
9,-4,-4,-6,6712
13,-4,-4,-7,6599
17,-3,-4,-6,6599
21,-3,-5,-7,6533
25,-6,-8,-9,6533
29,-6,-8,-10,6475
33,-6,-9,-11,6475
37,-9,-12,-14,6409
41,-9,-13,-15,6409
45,-4,-10,-12,6323
49,-2,-9,-11,6323
53,-2,-9,-11,6371
57,-2,-10,-12,6371
61,-1,-9,-11,6380
65,-6,-23,-25,6380
69,-2,-19,-21,6351
73,2,-15,-17,6351
77,-4,-18,-21,6312
81,-2,-16,-19,6312
85,-2,-16,-18,6244
89,6,-15,-17,6244
93,5,-19,-21,6331
97,1,-24,-27,6331
101,10,-15,-17,6283
105,21,-4,-6,6283
109,26,-7,-9,6311
113,28,-1,-3,6311
117,39,6,3,6349
121,39,6,3,6349
125,34,7,4,6424
129,33,6,3,6424
133,35,7,4,6414
137,31,3,0,6414
141,25,4,0,6424
145,22,5,1,6424
149,24,9,5,6414
153,16,0,-3,6414
157,7,-4,-7,6405
161,9,-1,-5,6405
165,6,-2,-6,6424
169,-6,-15,-19,6424
173,-11,-24,-27,6404
177,-7,-20,-24,6404
181,-10,-21,-25,6368
185,-11,-22,-26,6368
189,0,-18,-22,6348
193,2,-15,-19,6348
197,8,-9,-13,6377
201,15,-7,-11,6377
205,26,-1,-5,6394
209,29,4,1,6394
213,29,3,0,6453
217,37,8,4,6453
221,32,9,5,6488
225,28,10,5,6488
229,30,9,5,6470
233,30,13,8,6470
237,20,4,-1,6479
241,18,5,0,6479
245,6,-1,-7,6452
249,11,2,-2,6452
253,14,1,-4,6308
257,7,-2,-7,6308
261,-9,-14,-19,6063
265,1,-6,-12,6063
269,1,-6,-12,5877
273,-3,-9,-15,5877
277,7,-1,-7,5810
281,10,1,-4,5810
285,12,3,-1,5780
289,14,6,0,5780
293,20,12,6,5741
297,22,15,9,5741
301,13,8,2,5683
305,16,11,5,5683
309,16,11,5,5674
313,10,6,0,5674
317,11,7,1,5653
321,13,3,-2,5653
325,12,4,-1,5643
329,9,8,1,5643
333,11,9,2,5625
337,15,12,5,5625
341,14,11,5,5615
345,15,13,5,5615
349,19,22,15,5595
353,16,19,11,5595
357,16,18,11,5558
361,18,25,18,5558
365,18,24,16,5557
369,18,23,15,5557
373,19,29,21,5509
377,21,30,21,5509
381,20,28,20,5461
385,22,35,26,5461
389,25,36,28,5395
393,25,41,33,5395
397,26,41,32,5327
401,25,51,42,5327
405,25,49,40,5241
409,26,53,44,5241
413,26,64,55,5141
417,31,71,61,5141
421,25,69,59,4969
425,14,65,56,4969
429,5,56,47,4851
433,-16,39,29,4851
437,-18,38,29,4934
441,-18,39,30,4934
445,-23,33,25,5028
449,-25,24,16,5028
453,-15,34,27,5068
457,-24,26,20,5068
461,-34,15,10,5075
465,-38,10,5,5075
469,-34,11,7,5181
473,-33,17,13,5181
477,-41,6,3,5191
481,-46,-1,-4,5191
485,-44,-8,-12,5265
489,-46,-12,-16,5265
493,-43,-5,-9,5248
497,-43,-8,-11,5248
501,-39,-13,-16,5256
505,-31,-13,-16,5256
509,-23,-11,-14,5228
513,-4,9,5,5228
517,5,8,5,5257
521,8,11,7,5257
525,16,24,20,5330
529,24,25,21,5330
533,24,21,17,5312
537,32,31,27,5312
541,38,33,30,5310
545,41,47,43,5310
549,45,48,43,5264
553,48,49,44,5264
557,48,61,57,5171
561,46,56,52,5171
565,45,61,56,5068
569,41,60,56,5068
573,31,48,43,4977
577,24,50,46,4977
581,19,45,41,4982
585,14,40,36,4982
589,9,41,38,4963
593,4,34,30,4963
597,-2,26,23,4985
601,-2,23,20,4985
605,-3,27,23,5052
609,-5,28,25,5052
613,-10,19,16,5048
617,0,25,22,5048
621,7,36,33,5066
625,9,42,39,5066
629,18,49,46,4972
633,24,60,57,4972
637,24,67,64,4812
641,23,70,67,4812
645,20,74,71,4641
649,9,64,62,4641
653,0,55,52,4661
657,-4,57,55,4661
661,-9,42,40,4751
665,-22,34,32,4751
669,-28,30,29,4846
673,-27,26,25,4846
677,-29,19,19,4939
681,-31,20,19,4939
685,-19,27,27,4995
689,-11,39,38,4995
693,-4,43,43,4948
697,0,52,52,4948
701,4,62,62,4816
705,5,60,60,4816
709,3,63,63,4741
713,-1,62,62,4741
717,-5,53,53,4741
721,-12,49,49,4741
725,-17,44,44,4816
729,-22,46,46,4816
733,-30,28,29,4867
737,-30,27,28,4867
741,-29,26,27,4977
745,-29,25,26,4977
749,-21,32,33,5010
753,-18,34,36,5010
757,-13,39,41,4978
761,1,54,55,4978
765,1,56,57,4917
769,-1,55,56,4917
773,0,64,66,4826
777,-1,56,57,4826
781,-2,62,63,4847
785,-7,55,57,4847
789,-17,43,46,4854
793,-18,47,49,4854
797,-21,40,42,4930
801,-26,38,41,4930
805,-24,28,31,4971
809,-25,32,35,4971
813,-22,37,40,5038
817,-12,37,39,5038
821,-12,43,45,5005
825,-9,43,46,5005
829,3,61,63,4969
833,1,57,60,4969
837,2,58,60,4903
841,4,65,68,4903
845,4,70,73,4902
849,-2,54,57,4902
853,-2,59,62,4921
857,-4,60,64,4921
861,-1,59,63,4957
865,-11,53,57,4957
869,-12,55,58,4927
873,-7,54,59,4927
877,-7,57,62,4929
881,-8,52,57,4929
885,-8,55,60,4929
889,-1,58,63,4929
893,2,64,70,4923
897,3,69,74,4923
901,5,67,73,4920
905,2,61,67,4920
909,-3,60,66,4934
913,-3,62,68,4934
917,-2,66,72,4933
921,-4,65,71,4933
925,-7,64,70,4931
929,-7,58,64,4931
933,-7,59,65,4948
937,-7,61,67,4948
941,-4,65,71,4949
945,0,64,70,4949
949,-1,59,65,4949
953,6,69,75,4949
957,8,74,80,4976
961,13,82,88,4976
965,6,78,84,4972
969,7,80,86,4972
973,12,87,93,4969
977,13,90,96,4969
981,9,81,87,4972
985,4,78,85,4972
989,3,78,85,4994
993,7,83,90,4994
997,7,85,92,4978
システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,75,59,47,6699
5,72,62,50,6699
9,71,77,65,5705
13,72,88,75,5705
17,72,98,85,5328
21,71,100,93,5328
25,69,100,100,5283
29,64,100,100,5283
33,56,100,100,5300
37,45,100,100,5300
41,33,100,97,5358
45,22,100,92,5358
49,14,100,92,5436
53,9,99,89,5436
57,0,91,81,5439
61,1,100,93,5439
65,2,100,91,5488
69,-7,89,81,5488
73,-24,82,75,5504
77,-39,68,62,5504
81,-39,60,54,5605
85,-37,67,61,5605
89,-46,56,51,5681
93,-41,58,53,5681
97,-34,67,63,5678
101,-40,54,50,5678
105,-46,53,49,5629
109,-44,57,54,5629
113,-46,51,48,5680
117,-54,41,37,5680
121,-48,47,44,5747
125,-45,51,48,5747
129,-58,40,38,5761
133,-68,31,28,5761
137,-75,22,21,5869
141,-80,10,8,5869
145,-77,10,9,6027
149,-77,8,7,6027
153,-89,-3,-3,6131
157,-94,-10,-10,6131
161,-91,-17,-16,6075
165,-93,-26,-25,6075
169,-95,-31,-29,5927
173,-100,-48,-46,5927
177,-109,-58,-56,5737
181,-109,-77,-75,5737
185,-103,-84,-81,5343
189,-97,-95,-92,5343
193,-84,-98,-95,4950
197,-56,-83,-80,4950
201,-49,-86,-82,4870
205,-47,-97,-93,4870
209,-25,-80,-76,4826
213,37,-23,-19,4826
217,65,4,8,5151
221,67,8,12,5151
225,76,16,21,5830
229,76,14,18,5830
233,58,2,7,5937
237,33,-15,-11,5937
241,16,-29,-25,6011
245,12,-34,-29,6011
249,2,-44,-39,5923
253,-13,-58,-53,5923
257,-21,-70,-65,5741
261,-33,-89,-84,5741
265,-42,-100,-100,5323
269,-50,-100,-100,5323
273,-54,-100,-100,4997
277,-47,-100,-100,4997
281,-46,-100,-100,4881
285,-37,-100,-100,4881
289,-18,-100,-100,4813
293,16,-100,-100,4813
297,25,-100,-100,4597
301,25,-100,-100,4597
305,31,-100,-100,4578
309,22,-100,-100,4578
313,15,-100,-100,4606
317,10,-100,-100,4606
321,-7,-100,-100,4601
325,-9,-100,-100,4601
329,-21,-100,-100,4622
333,-32,-100,-100,4622
337,-42,-100,-100,4655
341,-44,-100,-100,4655
345,-46,-100,-100,4657
349,-51,-100,-100,4657
353,-61,-100,-100,4662
357,-59,-100,-100,4662
361,-64,-100,-100,4656
365,-69,-100,-100,4656
369,-72,-100,-100,4638
373,-68,-100,-100,4638
377,-70,-100,-100,4655
381,-72,-100,-100,4655
385,-78,-100,-100,4647
389,-86,-100,-100,4647
393,-95,-100,-100,4661
397,-111,-100,-100,4661
401,-125,-100,-100,4655
405,-147,-100,-100,4655
409,-150,-100,-100,4655
413,-145,-100,-100,4655
417,-145,-100,-100,4626
421,-136,-100,-100,4626
425,-132,-100,-100,4587
429,-120,-100,-100,4587
433,-125,-100,-100,4568
437,-100,-100,-100,4568
441,-78,-100,-100,4568
445,-61,-100,-100,4568
449,-64,-100,-100,4601
453,-63,-100,-100,4601
457,-60,-100,-100,4595
461,-38,-100,-100,4595
465,-34,-100,-100,4608
469,-30,-100,-100,4608
473,-19,-100,-100,4643
477,-7,-100,-100,4643
481,6,-100,-100,4668
485,8,-100,-100,4668
489,14,-100,-100,4688
493,19,-100,-100,4688
497,16,-100,-100,4697
501,20,-100,-100,4697
505,29,-100,-100,4694
509,41,-100,-100,4694
513,53,-100,-100,4681
517,72,-100,-100,4681
521,87,-100,-100,4671
525,97,-100,-100,4671
529,105,-100,-100,4670
533,112,-100,-100,4670
537,115,-100,-100,4652
541,120,-100,-100,4652
545,132,-100,-100,4680
549,138,-100,-100,4680
553,145,-100,-100,4681
557,151,-100,-100,4681
561,155,-100,-100,4707
565,155,-100,-100,4707
569,159,-100,-97,4718
573,157,-100,-91,4718
577,158,-98,-89,4728
581,162,-78,-70,4728
585,168,-71,-62,4764
589,178,-44,-35,4764
593,183,-29,-21,4880
597,186,-24,-16,4880
601,194,0,8,5021
605,192,7,15,5021
609,191,14,23,5021
613,189,27,35,5021
617,186,38,46,4946
621,183,47,55,4946
625,186,66,74,4675
629,175,79,87,4675
