システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,-2,-5,2,7129
5,0,-5,4,7129
9,-1,-5,2,6825
13,-2,-6,1,6825
17,-3,-7,0,6676
21,-7,-11,-2,6676
25,-8,-13,-4,6599
29,-14,-18,-9,6599
33,-15,-25,-16,6467
37,-14,-24,-16,6467
41,-25,-33,-25,6429
45,-24,-33,-25,6429
49,-17,-29,-21,6398
53,-8,-23,-15,6398
57,-9,-24,-15,6370
61,-11,-30,-22,6370
65,-4,-24,-16,6416
69,-13,-30,-22,6416
73,-18,-39,-31,6425
77,-14,-40,-32,6425
81,-14,-44,-36,6388
85,-11,-40,-32,6388
89,-10,-48,-40,6320
93,-11,-51,-42,6320
97,-10,-52,-44,6254
101,-11,-55,-45,6254
105,3,-51,-41,6197
109,2,-56,-46,6197
113,5,-52,-42,6197
117,6,-55,-45,6197
121,25,-43,-33,6187
125,60,-16,-6,6187
129,63,-11,-2,6226
133,63,-14,-5,6226
137,72,0,9,6477
141,93,13,23,6477
145,90,15,25,6581
149,86,17,25,6581
153,82,27,36,6552
157,81,28,36,6552
161,75,25,33,6486
165,58,18,26,6486
169,49,21,29,6393
173,42,12,20,6393
177,36,15,23,6431
181,34,19,27,6431
185,23,14,23,6477
189,16,12,20,6477
193,18,16,24,6432
197,10,11,20,6432
201,0,5,13,6412
205,-1,9,17,6412
209,-11,5,13,6451
213,-16,-1,7,6451
217,-18,0,7,6384
221,-22,-1,6,6384
225,-17,2,11,6374
229,-12,6,16,6374
233,-33,-8,0,6215
237,-24,-7,1,6215
241,-20,1,10,6082
245,-29,-11,-2,6082
249,-36,-17,-8,6054
253,-37,-24,-15,6054
257,-38,-25,-17,5995
261,-41,-33,-25,5995
265,-40,-38,-30,5939
269,-30,-34,-26,5939
273,-19,-28,-21,5834
277,-5,-13,-6,5834
281,5,-6,0,5844
285,6,-6,0,5844
289,6,-12,-4,5908
293,8,-9,-2,5908
297,10,-7,0,5907
301,12,-10,-3,5907
305,12,-8,-1,5907
309,10,-8,-1,5907
313,9,-14,-6,5907
317,10,-11,-4,5907
321,15,-16,-9,5879
325,18,-10,-2,5879
329,21,-4,2,5879
333,22,-6,1,5879
337,19,-4,2,5907
341,19,-8,0,5907
345,18,-5,2,5925
349,17,-9,0,5925
353,16,-6,1,5935
357,13,-12,-3,5935
361,10,-11,-3,5906
365,25,2,11,5906
369,33,7,15,5869
373,35,13,21,5869
377,37,13,21,5869
381,41,21,28,5869
385,42,31,39,5840
389,37,30,37,5840
393,34,29,37,5773
397,31,28,36,5773
401,25,25,32,5709
405,13,15,22,5709
409,11,18,26,5689
413,14,20,27,5689
417,12,17,24,5698
421,6,16,24,5698
425,6,20,27,5679
429,10,31,39,5679
433,11,28,36,5642
437,14,28,35,5642
441,18,42,48,5511
