システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,0,-7,-6,6981
5,2,-6,-5,6981
9,2,-7,-6,6830
13,2,-7,-6,6830
17,3,-7,-6,6765
21,4,-7,-6,6765
25,4,-7,-6,6727
29,2,-9,-8,6727
33,5,-7,-6,6660
37,2,-9,-8,6660
41,0,-11,-10,6603
45,-1,-12,-12,6603
49,0,-17,-16,6604
53,2,-15,-14,6604
57,-1,-17,-16,6593
61,-6,-20,-19,6593
65,-5,-20,-19,6583
69,-7,-22,-21,6583
73,-10,-25,-24,6546
77,-7,-23,-22,6546
81,2,-22,-21,6498
85,-2,-29,-28,6498
89,-11,-34,-33,6460
93,5,-26,-26,6460
97,13,-18,-18,6366
101,18,-17,-16,6366
105,18,-19,-18,6393
109,24,-10,-10,6393
113,36,-3,-2,6392
117,38,-1,0,6392
121,35,-3,-3,6477
125,36,1,2,6477
129,39,3,4,6524
133,35,0,0,6524
137,33,-1,0,6561
141,29,0,0,6561
145,19,-3,-3,6579
149,16,-3,-3,6579
153,15,-2,-2,6590
157,9,-15,-14,6590
161,-1,-20,-19,6609
165,6,-14,-13,6609
169,5,-13,-12,6580
173,0,-16,-15,6580
177,-1,-16,-15,6590
181,7,-10,-9,6590
185,7,-14,-13,6599
189,3,-15,-15,6599
193,9,-10,-9,6599
197,12,-11,-11,6599
201,12,-9,-9,6609
205,15,-6,-5,6609
209,14,-5,-4,6619
213,12,-10,-9,6619
217,16,-5,-4,6646
221,21,0,0,6646
225,20,-4,-3,6666
229,19,-2,-1,6666
233,18,-1,0,6703
237,21,-2,-1,6703
241,29,5,6,6618
245,25,5,6,6618
249,21,4,5,6449
253,18,3,4,6449
257,20,6,7,6165
261,16,4,4,6165
265,9,4,5,6054
269,8,2,3,6054
273,7,0,1,5995
277,3,-3,-2,5995
281,3,-4,-3,5984
285,7,-1,-1,5984
289,9,0,0,5956
293,8,-1,-1,5956
297,9,-1,0,5946
301,14,2,3,5946
305,17,5,6,5946
309,16,5,5,5946
313,18,7,8,5889
317,23,12,12,5889
321,23,12,13,5859
325,22,12,13,5859
329,25,16,16,5839
333,25,17,17,5839
337,23,16,17,5812
341,21,15,15,5812
345,21,15,16,5792
349,21,16,16,5792
353,21,16,17,5792
357,22,28,29,5792
361,24,29,29,5762
365,24,28,28,5762
369,23,32,33,5667
373,24,31,32,5667
377,24,36,37,5611
381,24,40,41,5611
385,24,44,44,5545
389,24,46,47,5545
393,23,44,44,5419
397,21,50,51,5419
401,21,58,59,5356
405,19,51,51,5356
409,21,61,62,5204
413,22,69,69,5204
417,20,72,73,5193
421,13,69,70,5193
425,8,70,71,5023
429,-29,35,35,5023
433,-29,39,40,5007
437,-74,-8,-8,5007
441,-84,-18,-17,5267
445,-101,-43,-42,5267
449,-101,-49,-48,5487
453,-98,-60,-59,5487
457,-93,-64,-63,5273
461,-87,-70,-69,5273
465,-67,-63,-63,5019
469,-60,-57,-56,5019
473,-60,-72,-71,4891
477,-59,-76,-75,4891
481,-48,-79,-78,4723
485,-41,-80,-79,4723
489,-32,-89,-89,4474
493,-28,-89,-88,4474
497,-32,-96,-95,4492
501,-15,-95,-94,4492
505,42,-28,-27,4513
509,77,4,4,4513
513,92,30,31,4944
517,106,43,43,4944
521,133,73,74,5228
525,129,78,79,5228
529,110,77,78,5028
533,107,85,85,5028
537,96,88,89,4770
541,61,59,59,4770
545,63,67,68,4593
549,59,74,74,4593
553,43,55,56,4759
557,27,52,53,4759
561,30,52,52,4724
565,14,45,46,4724
569,-1,30,31,4722
573,-1,36,36,4722
577,-22,11,11,4854
581,-32,3,4,4854
585,-58,-21,-21,5037
589,-66,-38,-37,5037
593,-74,-45,-45,5274
597,-82,-62,-61,5274
601,-81,-70,-69,5224
605,-72,-63,-62,5224
609,-72,-80,-80,4984
613,-47,-61,-60,4984
617,-38,-57,-56,4807
621,-32,-59,-58,4807
625,-39,-72,-71,4881
629,-29,-68,-67,4881
633,-15,-61,-60,4681
637,-15,-77,-77,4681
641,-6,-68,-68,4624
645,2,-66,-65,4624
649,3,-77,-76,4559
653,6,-76,-75,4559
657,14,-68,-67,4579
661,15,-74,-74,4579
665,19,-73,-73,4712
669,42,-53,-52,4712
673,86,-6,-5,4756
677,112,32,32,4756
681,114,36,37,5097
685,112,45,46,5097
689,123,58,59,5252
693,125,64,65,5252
697,104,56,57,5177
701,93,54,54,5177
705,73,41,41,5125
709,72,44,44,5125
713,70,51,51,5183
717,61,44,44,5183
721,58,49,49,5108
725,51,49,49,5108
729,37,40,40,5066
733,37,43,43,5066
737,39,48,48,5032
741,25,43,43,5032
745,-3,15,15,4915
749,-8,6,6,4915
753,-11,13,13,5043
757,-18,1,1,5043
761,-31,-3,-3,5098
765,-29,-9,-9,5098
769,-27,-1,-1,5299
773,-23,0,0,5299
777,-18,3,3,5376
781,-9,5,5,5376
