システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,カラーセンサの値,白178,黒12
1,-5,15,-21,7759,147,,
5,-5,15,-22,7760,148,,
9,-6,14,-23,7722,147,,
13,-5,14,-23,7725,147,,
17,-5,14,-23,7655,147,,
21,-4,10,-27,7656,146,,
25,-3,11,-25,7646,146,,
29,-4,7,-30,7647,147,,
33,-3,9,-28,7619,147,,
37,-5,4,-32,7621,146,,
41,-11,2,-35,7571,148,,
45,-8,0,-36,7574,149,,
49,-9,-3,-40,7486,149,,
53,-14,-8,-46,7485,150,,
57,-16,-12,-49,7495,150,,
61,-16,-14,-51,7499,151,,
65,-17,-16,-54,7411,151,,
69,-11,-14,-52,7413,152,,
73,16,-2,-39,7375,153,,
77,32,5,-31,7374,153,,
81,42,15,-22,7412,152,,
85,48,22,-14,7407,150,,
89,40,20,-16,7495,149,,
93,33,14,-23,7494,148,,
97,32,16,-21,7514,148,,
101,21,10,-26,7515,144,,
105,12,6,-31,7495,140,,
109,9,0,-36,7497,137,,
113,7,0,-37,7439,135,,
117,2,1,-35,7439,129,,
121,-2,-5,-43,7429,126,,
125,-2,-5,-43,7429,121,,
129,0,-8,-45,7429,117,,
133,1,-6,-44,7431,115,,
137,9,-5,-42,7403,112,,
141,17,1,-35,7401,109,,
145,20,1,-35,7391,108,,
149,18,-1,-38,7391,105,,
153,24,5,-31,7439,104,,
157,18,0,-36,7438,103,,
161,14,-3,-40,7486,102,,
165,16,0,-36,7484,100,,
169,17,0,-37,7494,98,,
173,11,-5,-42,7492,98,,
177,8,-8,-45,7532,95,,
181,8,-51,-13,7533,93,,
185,14,-47,-10,7513,91,,
189,9,-50,-13,7512,89,,
193,7,-47,-10,7552,89,,
197,13,-45,-7,7552,88,,
201,25,-37,0,7562,87,,
205,21,-40,-2,7562,85,,
209,24,-38,0,7532,84,,
213,22,-38,-1,7532,84,,
217,14,-43,-6,7522,82,,
221,13,-44,-7,7523,79,,
225,6,-49,-11,7533,77,,
229,-1,-54,-16,7535,74,,
233,2,-49,-12,7467,71,,
237,-3,-58,-21,7469,70,,
241,-6,-61,-23,7459,69,,
245,-10,-64,-27,7457,69,,
249,-12,-66,-29,7467,69,,
253,-26,-77,-39,7469,71,,
257,8,-61,-23,7419,71,,
261,43,-37,0,7422,74,,
265,44,-29,8,7384,79,,
269,46,-30,7,7377,86,,
273,81,32,-4,7503,95,,
277,90,47,9,7504,108,,
281,77,38,1,7466,123,,
285,69,37,0,7477,137,,
289,86,56,19,7213,151,,
293,74,51,13,7220,162,,
297,53,39,2,7034,173,,
301,69,56,18,7037,181,,
305,77,67,29,7007,187,,
309,68,66,28,7013,196,,
313,47,57,19,6799,203,,
317,43,61,23,6813,209,,
321,54,74,37,6765,211,,
325,51,78,40,6763,216,,
329,23,64,26,6537,217,,
