システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
10,2,0,2,6938
10,2,0,2,6938
13,3,0,2,6576
17,2,0,1,6576
21,3,0,2,6474
25,-2,-3,-1,6474
29,-2,-3,-1,6369
33,-6,-7,-5,6369
37,-8,-9,-7,6282
41,-7,-9,-7,6282
45,-1,-5,-3,6301
49,2,-3,-1,6301
53,8,0,2,6471
57,2,-3,-1,6471
61,-2,-6,-4,6496
65,11,2,4,6496
69,-5,-8,-6,6440
73,9,1,3,6440
77,6,0,1,6450
81,2,-3,-1,6450
85,6,0,1,6496
89,2,-3,-1,6496
93,4,-2,0,6535
97,10,2,3,6535
101,5,-1,0,6552
105,7,0,1,6552
109,9,1,3,6581
113,11,3,5,6581
117,8,1,3,6600
121,5,0,1,6600
125,-2,-6,-4,6629
129,4,-2,0,6629
133,8,0,2,6637
137,-2,-6,-4,6637
141,0,-5,-4,6647
145,4,-3,-1,6647
149,-5,-10,-8,6666
153,1,-6,-4,6666
157,7,-2,0,6647
161,-3,-9,-7,6647
165,-4,-10,-8,6685
169,1,-7,-5,6685
173,-9,-15,-13,6695
177,-11,-17,-15,6695
181,-7,-15,-13,6676
185,-5,-14,-12,6676
189,-15,-27,-25,6676
193,2,-15,-13,6676
197,-11,-23,-21,6647
201,-12,-24,-22,6647
205,-12,-25,-23,6561
209,-7,-22,-20,6561
213,4,-14,-12,6391
217,-18,-36,-34,6391
221,-5,-27,-25,6162
225,-4,-36,-34,6162
229,-7,-38,-35,5882
233,-11,-39,-37,5882
237,-2,-37,-35,5711
241,-11,-48,-46,5711
245,-7,-49,-47,5605
249,-6,-51,-49,5605
253,-4,-53,-51,5438
257,-4,-60,-58,5438
261,-1,-60,-57,5302
265,7,-58,-56,5302
269,11,-60,-58,5185
273,21,-48,-46,5185
277,46,-20,-18,5149
281,52,-16,-13,5149
285,60,-8,-5,5413
289,68,0,2,5413
293,69,3,5,5590
297,64,0,2,5590
301,65,3,5,5665
305,64,15,17,5665
309,52,4,6,5654
313,43,-4,-2,5654
317,28,-7,-5,5732
321,18,-20,-18,5732
325,13,-17,-16,5713
329,5,-30,-28,5713
333,6,-23,-22,5729
337,-11,-45,-43,5729
341,-17,-46,-44,5693
345,-22,-53,-51,5693
349,-26,-60,-58,5574
353,-29,-66,-64,5574
357,-33,-74,-72,5466
361,-19,-59,-57,5466
365,-10,-62,-59,5257
369,-5,-57,-55,5257
373,23,-31,-29,5223
377,31,-27,-25,5223
381,38,-16,-14,5388
385,52,-5,-3,5388
389,55,-3,0,5485
393,49,3,5,5485
397,55,6,8,5582
401,48,0,1,5582
405,33,-3,-1,5604
409,23,-16,-14,5604
413,14,-22,-20,5600
417,5,-29,-27,5600
421,0,-29,-27,5559
425,-3,-39,-37,5559
429,-12,-42,-40,5512
433,-25,-62,-60,5512
437,-28,-63,-61,5387
441,-26,-71,-69,5387
445,-21,-76,-74,5237
449,-11,-67,-65,5237
453,0,-58,-56,5075
457,21,-36,-34,5075
461,37,-23,-21,5166
465,48,-13,-11,5166
469,56,-5,-3,5367
473,60,5,7,5367
477,60,5,7,5480
481,63,9,11,5480
485,58,17,19,5525
489,48,7,8,5525
493,36,0,2,5491
497,22,-9,-7,5491
501,24,-6,-4,5545
505,15,-13,-11,5545
509,10,-17,-16,5532
513,4,-17,-16,5532
517,-10,-37,-36,5525
521,-13,-42,-40,5525
525,-14,-39,-38,5420
529,-25,-52,-51,5420
533,-29,-66,-65,5375
537,-37,-70,-69,5375
541,-25,-72,-71,5158
545,-16,-65,-64,5158
549,-6,-64,-63,5018
553,11,-52,-51,5018
557,39,-14,-13,5010
561,61,5,7,5010
565,71,15,16,5329
569,79,30,32,5329
573,76,29,30,5407
577,77,43,44,5407
581,68,35,36,5308
585,45,19,20,5308
589,44,20,21,5319
593,37,22,23,5319
597,41,32,33,5343
601,32,23,24,5343
605,26,23,24,5293
609,14,16,16,5293
613,8,12,13,5301
617,9,14,15,5301
621,5,11,12,5320
625,-1,12,13,5320
629,-9,3,4,5316
633,-16,-4,-4,5316
637,-19,-3,-3,5397
641,-19,-1,0,5397
645,-19,-5,-4,5497
649,-17,-7,-6,5497
653,-18,-5,-4,5482
657,-22,-12,-12,5482
661,-21,-9,-8,5479
665,-16,-9,-8,5479
669,-14,-10,-10,5479
673,-15,-14,-13,5479
677,-11,-13,-12,5487
681,-10,-13,-13,5487
685,-6,-11,-11,5471
689,2,-5,-4,5471
693,5,-2,-2,5479
697,8,0,0,5479
701,7,0,0,5524
705,4,-3,-2,5524
709,4,-3,-3,5549
713,5,-3,-2,5549
717,6,-8,-7,5555
721,3,-9,-8,5555
725,2,-10,-9,5517
729,2,-9,-9,5517
733,3,-8,-7,5526
737,5,-6,-5,5526
741,7,-4,-3,5511
745,9,-8,-7,5511
749,8,-7,-7,5502
753,10,-4,-4,5502
757,10,-3,-3,5500
761,9,-3,-3,5500
765,10,-2,-1,5507
769,9,-2,-1,5507
773,10,-1,0,5524
777,10,-1,0,5524
781,12,1,1,5528
785,13,2,3,5528
789,13,2,3,5553
793,14,4,4,5553
797,16,6,6,5554
801,17,7,8,5554
805,17,8,8,5528
809,17,8,9,5528
813,18,10,10,5518
817,18,10,11,5518
821,19,12,12,5518
825,21,14,15,5518
829,21,15,15,5509
833,22,16,17,5509
837,22,17,17,5506
841,23,18,19,5506
845,24,26,27,5480
849,25,27,27,5480
853,25,27,27,5452
857,26,28,28,5452
861,27,35,35,5404
865,30,43,43,5404
869,30,43,43,5314
873,23,47,47,5314
877,17,39,39,5198
881,20,45,45,5198
885,3,31,31,5150
889,-2,27,27,5150
893,1,30,30,5187
897,-6,23,23,5187
901,-13,22,22,5222
905,-16,17,16,5222
909,-15,15,15,5281
913,-15,19,19,5281
917,-16,15,15,5309
921,-11,23,23,5309
925,-12,25,25,5319
929,-12,15,15,5319
933,-5,26,26,5303
937,-3,31,31,5303
941,-3,29,29,5270
945,-7,28,28,5270
949,-8,30,30,5241
953,-8,32,32,5241
957,-11,30,30,5227
961,-12,30,30,5227
965,-14,22,22,5232
969,-16,28,27,5232
973,-16,21,20,5261
977,-16,27,27,5261
981,-20,22,22,5298
985,-20,21,20,5298
989,-17,23,22,5308
993,-16,23,22,5308
997,-15,23,22,5309
1001,-11,26,25,5309
1005,-10,26,26,5312
1009,-5,31,30,5312
1013,-14,22,22,5298
1017,-14,21,21,5298
1021,-13,21,21,5326
1025,-17,17,16,5326
1029,-20,19,18,5352
1033,-19,17,16,5352
1037,-26,9,8,5365
1041,-28,4,3,5365
1045,-21,8,7,5411
1049,-21,7,6,5411
1053,-20,6,5,5440
1057,-10,14,13,5440
1061,1,24,23,5453
1065,4,27,26,5453
1069,5,29,28,5387
1073,7,31,30,5387
1077,5,31,29,5339
1081,7,39,38,5339
1085,5,31,29,5315
1089,3,41,40,5315
1093,0,30,29,5280
1097,0,36,34,5280
1101,-1,33,32,5296
1105,-5,27,26,5296
1109,-10,21,20,5294
1113,-6,23,22,5294
1117,-6,21,20,5335
1121,-15,12,11,5335
1125,-12,19,17,5383
1129,-6,22,21,5383
1133,-2,24,23,5392
1137,-2,23,22,5392
1141,2,26,25,5355
1145,4,28,26,5355
1149,5,28,27,5355
1153,7,36,35,5355
1157,6,41,39,5299
1161,1,28,27,5299
1165,6,38,37,5268
1169,6,37,35,5268
1173,4,34,32,5249
1177,2,31,29,5249
1181,2,36,34,5260
1185,-6,26,24,5260
1189,-9,21,19,5257
1193,-9,19,17,5257
1197,-13,13,11,5340
1201,-14,22,20,5340
1205,-12,19,18,5374
1209,-7,20,19,5374
1213,1,26,24,5372
1217,3,26,25,5372
1221,6,34,33,5340
1225,9,36,34,5340
1229,17,55,53,5270
1233,13,43,41,5270
1237,10,46,44,5175
1241,4,38,36,5175
1245,-2,30,28,5175
1249,2,31,30,5175
1253,-5,35,33,5251
1257,-6,30,28,5251
1261,-12,20,18,5258
1265,-9,26,24,5258
1269,-7,29,28,5332
1273,-5,27,25,5332
1277,-7,28,26,5307
1281,0,31,29,5307
1285,3,31,29,5289
1289,5,43,41,5289
1293,8,43,41,5251
1297,3,35,33,5251
1301,-2,40,38,5207
1305,5,42,40,5207
1309,0,34,32,5205
1313,-3,40,38,5205
1317,-6,32,30,5229
