システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,10,172,91
10,-53,-8,-59,7588,117,,
10,-53,-34,-40,7588,115,,
13,-15,-10,-23,7588,117,,
17,35,19,9,7410,117,,
21,-10,-7,-16,7410,117,,
25,5,0,-6,7326,116,,
29,-24,-17,-26,7326,116,,
33,-4,-12,-17,7291,114,,
37,-2,-7,-18,7291,115,,
41,-3,-9,-16,7309,114,,
45,2,-5,-13,7309,114,,
49,1,-6,-13,7307,113,,
53,-7,-9,-20,7307,114,,
57,-6,-9,-19,7324,115,,
61,-1,-7,-16,7324,115,,
65,3,-9,-16,7334,114,,
69,-7,-13,-24,7334,115,,
73,-11,-21,-30,7372,115,,
77,12,-7,-12,7372,113,,
81,2,-10,-19,7381,113,,
85,-9,-22,-28,7381,112,,
89,-10,-20,-30,7417,113,,
93,-5,-21,-30,7417,113,,
97,-5,-24,-33,7371,113,,
101,-5,-28,-34,7371,112,,
105,-2,-27,-35,7400,112,,
109,-4,-29,-39,7400,113,,
113,-17,-45,-51,7408,112,,
117,-10,-38,-44,7408,111,,
121,6,-29,-36,7305,111,,
125,15,-28,-34,7305,110,,
129,19,-24,-31,7343,110,,
133,42,-12,-19,7343,110,,
137,42,-8,-15,7391,110,,
141,51,-4,-11,7391,110,,
145,61,-1,-2,7502,107,,
149,54,0,-3,7502,106,,
153,46,-6,-8,7586,104,,
157,64,4,1,7586,103,,
161,60,7,3,7614,103,,
165,53,0,0,7614,101,,
169,59,9,6,7651,101,,
173,59,9,5,7651,101,,
177,61,18,14,7681,101,,
181,56,18,13,7681,102,,
185,57,16,13,7652,101,,
189,55,23,17,7652,102,,
193,50,20,16,7652,102,,
197,37,13,9,7652,102,,
201,49,24,24,7531,100,,
205,43,19,21,7531,97,,
209,31,17,17,7353,96,,
213,26,18,16,7353,96,,
217,31,24,22,7194,96,,
221,34,28,26,7194,96,,
225,10,18,18,6988,95,,
229,25,29,26,6988,96,,
233,14,21,21,6913,95,,
237,-1,9,10,6913,94,,
241,-8,9,8,6835,94,,
245,-9,10,9,6835,94,,
249,-10,6,5,6892,94,,
253,-15,6,2,6892,95,,
257,-20,2,1,6882,95,,
261,-19,6,0,6882,98,,
265,-15,8,3,6939,99,,
269,-18,7,0,6939,101,,
273,-15,6,-3,7002,104,,
277,-11,13,5,7002,106,,
281,-12,7,0,7022,107,,
285,-10,17,3,7022,111,,
289,-2,14,7,7021,111,,
293,-1,19,6,7021,114,,
297,-2,12,4,7021,114,,
301,-5,18,5,7021,116,,
305,-5,13,1,7031,117,,
309,-9,10,0,7031,117,,
313,-9,9,1,7050,116,,
317,-14,5,0,7050,114,,
321,-9,1,0,7059,110,,
325,-6,2,-4,7059,110,,
329,-8,0,0,7097,106,,
333,-8,-4,-3,7097,103,,
337,-12,-4,-5,7209,101,,
341,0,0,-1,7209,100,,
345,7,4,8,7134,96,,
349,10,10,10,7134,95,,
353,16,12,12,7069,94,,
357,17,11,11,7069,93,,
361,19,13,18,7051,90,,
365,22,16,16,7051,90,,
369,21,14,15,7031,90,,
373,23,15,15,7031,90,,
377,20,12,13,7011,90,,
381,19,18,13,7011,93,,
385,17,19,16,7011,94,,
389,13,18,16,7011,94,,
393,11,15,11,6992,95,,
397,12,11,12,6992,94,,
401,11,10,7,6992,95,,
405,10,11,11,6992,94,,
409,8,8,7,7002,94,,
413,11,12,13,7002,93,,
417,15,17,18,7002,92,,
421,12,13,13,7002,92,,
425,12,16,14,6975,93,,
429,14,14,15,6975,92,,
433,13,16,16,6965,92,,
437,13,18,18,6965,92,,
441,13,20,20,6955,92,,
445,14,22,22,6955,92,,
449,14,19,18,6936,92,,
453,14,20,21,6936,91,,
457,13,21,21,6927,91,,
461,11,23,19,6927,93,,
465,12,23,22,6909,93,,
469,11,19,17,6909,94,,
473,7,22,21,6899,94,,
477,4,20,19,6899,94,,
481,3,19,18,6899,94,,
485,-2,15,14,6899,94,,
489,-7,11,10,6909,94,,
493,-9,13,12,6909,94,,
497,-8,5,8,6945,92,,
501,-8,10,11,6945,91,,
505,-6,15,15,6964,91,,
509,0,11,14,6964,89,,
513,6,18,23,6945,87,,
517,6,18,22,6945,86,,
521,5,16,21,6925,84,,
525,7,17,22,6925,83,,
529,9,21,28,6916,81,,
533,9,25,31,6916,80,,
537,8,18,24,6899,79,,
541,5,19,27,6899,77,,
545,3,21,28,6890,76,,
549,2,23,29,6890,76,,
553,0,15,19,6879,77,,
557,-1,16,23,6879,76,,
561,-5,16,22,6909,76,,
565,-7,17,21,6909,77,,
569,-8,11,18,6908,76,,
573,-9,15,16,6908,78,,
577,-11,13,17,6915,78,,
581,-9,11,14,6915,79,,
585,-7,9,12,6935,80,,
589,-7,10,16,6935,79,,
593,-6,13,17,6954,79,,
597,0,17,24,6954,78,,
601,5,17,24,6944,77,,
605,5,20,25,6944,77,,
609,5,17,24,6915,76,,
613,4,19,25,6915,76,,
617,5,20,28,6916,75,,
621,6,19,25,6916,75,,
625,5,18,28,6898,73,,
629,3,21,26,6898,74,,
633,3,21,28,6899,74,,
637,4,22,30,6899,73,,
641,4,20,25,6898,74,,
645,-2,17,23,6898,74,,
649,-4,16,22,6899,74,,
653,0,20,25,6899,75,,
