システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
0,0,0,0,6883
2256,-2,17,-20,6778
2261,-1,17,-19,6779
2266,-1,17,-19,6711
2271,-1,12,-24,6663
2276,-2,13,-24,6663
2281,-1,14,-23,6634
2286,-1,19,-17,6616
2291,-1,14,-23,6616
2296,-1,14,-22,6606
2301,-1,15,-22,6607
2306,-1,10,-26,6587
2311,-1,16,-20,6557
2316,-1,11,-25,6557
2321,-1,12,-24,6540
2326,-1,8,-28,6540
2331,0,10,-26,6540
2336,0,12,-25,6539
2341,0,13,-24,6539
2346,0,9,-28,6539
2351,-5,6,-30,6539
2356,8,17,-19,6539
2361,21,24,-13,6520
2366,38,40,2,6539
2371,28,31,-5,6539
2376,20,29,-8,6520
2381,18,30,-7,6520
2386,6,28,-9,6520
2391,11,27,-10,6510
2396,11,33,-4,6510
2401,-11,16,-20,6510
2406,-11,20,-17,6530
2411,-15,14,-22,6530
2416,-16,16,-20,6539
2421,-15,14,-22,6538
2426,-23,11,-26,6556
2431,-25,6,-31,6556
2436,-23,4,-32,6556
2441,-25,5,-31,6539
2446,-23,3,-33,6529
2451,-23,5,-31,6529
2456,-18,1,-35,6500
2461,-18,4,-32,6500
2466,-12,7,-30,6480
2471,-11,6,-31,6471
2476,-2,12,-25,6471
2481,-2,6,-30,6463
2486,-2,7,-30,6463
2491,-2,7,-29,6463
2496,-9,-1,-39,6453
2501,-11,-2,-40,6453
2506,-16,-6,-43,6443
2511,-15,-10,-48,6384
2516,-11,-11,-49,6384
2521,-1,-7,-45,6298
2526,4,-5,-43,6291
2531,10,2,-34,6291
2536,18,2,-34,6338
2541,25,8,-29,6335
2546,25,4,-32,6403
2551,25,1,-35,6442
2556,27,0,-36,6442
2561,25,2,-34,6432
2566,18,-4,-42,6413
2571,10,-8,-45,6413
2576,23,-6,-44,6375
2581,23,-2,-39,6377
2586,23,-8,-46,6347
2591,33,0,-38,6376
2596,35,1,-36,6376
2601,34,1,-35,6393
2606,25,-4,-41,6413
2611,31,0,-36,6413
2616,31,1,-35,6413
2621,24,-3,-40,6412
2626,31,2,-34,6432
2631,35,11,-26,6423
2636,30,7,-29,6423
2641,31,8,-28,6479
2646,31,8,-28,6489
2651,33,10,-26,6489
2656,35,12,-24,6499
2661,34,12,-24,6498
2666,30,5,-31,6508
2671,34,15,-22,6518
2676,34,15,-21,6518
2681,27,11,-26,6508
2686,25,9,-27,6518
2691,27,11,-25,6518
2696,27,11,-25,6509
2701,23,9,-28,6509
2706,20,7,-30,6519
2711,24,10,-27,6499
2716,28,13,-23,6499
2721,21,14,-23,6489
2726,17,10,-27,6489
2731,21,17,-20,6489
2736,14,10,-26,6469
2741,11,12,-25,6470
2746,11,9,-27,6470
2751,14,15,-22,6462
2756,11,10,-26,6462
2761,13,20,-17,6462
2766,11,10,-27,6442
2771,11,18,-19,6442
2776,8,12,-24,6433
2781,3,11,-26,6433
2786,-3,7,-29,6423
2791,-1,14,-22,6442
2796,3,12,-24,6442
2801,4,14,-23,6452
2806,4,19,-17,6452
2811,10,19,-18,6452
2816,10,20,-17,6452
2821,11,26,-10,6452
2826,11,26,-10,6452
2831,8,24,-13,6442
2836,3,25,-12,6442
2841,6,30,-6,6432
2846,0,24,-13,6423
2851,-8,16,-21,6423
2856,-11,16,-20,6433
2861,-5,18,-19,6432
2866,0,29,-7,6442
2871,1,27,-10,6442
2876,1,29,-8,6442
2881,11,38,1,6423
2886,13,42,5,6383
2891,8,22,22,6383
2896,6,22,22,6327
2901,6,28,28,6327
2906,-1,27,27,6337
2911,-6,22,22,6271
2916,-12,20,20,6271
2921,-16,19,19,6298
2926,-20,22,22,6327
2931,-20,22,22,6327
2936,-18,23,23,6280
2941,-20,8,45,6281
2946,-19,12,50,6241
2951,-19,11,48,6060
2956,-16,22,59,6060
